Address,Interruption,Planned,Reported On,Restoration Time,Impact
"ADAMS - Building 02  700 WESTCHESTER AVENUE  BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 7:54 AM,7 Hours,BuildingsUnitsPopulation  1124292
"ALBANY II - Building 07  1400 BERGEN STREET  BROOKLYN, NY 11213",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 6:29 PM,10 Hours,BuildingsUnitsPopulation  1130322
"ALBANY II - Building 08  1414 BERGEN STREET  BROOKLYN, NY 11213",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 12:27 PM,3 Hours,BuildingsUnitsPopulation  1140367
"ASTORIA - Building 16  3-06 ASTORIA BLVD.  QUEENS, NY 11102",Elevator NO SERVICE,Unplanned,05/09/2020 9:27 AM,2 Hours,BuildingsUnitsPopulation  148114
"BARUCH - Building 09  120 BARUCH DRIVE  NEW YORK, NY 10002",Elevator NO SERVICE,Unplanned,05/08/2020 4:03 PM,3 Hours,BuildingsUnitsPopulation  167148
"BARUCH - Building 08  90 BARUCH DRIVE  NEW YORK, NY 10002",Elevator NO SERVICE,Unplanned,05/07/2020 6:48 PM,28 Hours,BuildingsUnitsPopulation  167144
"BARUCH HOUSES ADDITION - Building 18  72 COLUMBIA STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 8:24 AM,2 Hours,BuildingsUnitsPopulation  1197239
"BORINQUEN PLAZA I - Building 01  30 MANHATTAN AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,05/08/2020 6:05 AM,13 Hours,BuildingsUnitsPopulation  151161
"BOSTON ROAD PLAZA - Building 01  2440 BOSTON ROAD  BRONX, NY 10467",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 1:33 PM,15 Hours,BuildingsUnitsPopulation  1235271
"BOSTON SECOR - Building 04  2175 REEDS MILL LANE  BRONX, NY 10475",Elevator PARTIAL SERVICE,Unplanned,05/07/2020 4:12 PM,21 Hours,BuildingsUnitsPopulation  1123297
"BREUKELEN - Building 09  104-06 GLENWOOD ROAD  BROOKLYN, NY 11236",Elevator NO SERVICE,Unplanned,05/09/2020 10:20 AM,2 Hours,BuildingsUnitsPopulation  13560
"BREVOORT - Building 01  292 RALPH AVENUE  BROOKLYN, NY 11233",Elevator NO SERVICE,Unplanned,05/08/2020 10:51 AM,2 Hours,BuildingsUnitsPopulation  13382
"BRONX RIVER ADDITION - Building 11  1350 MANOR AVENUE  BRONX, NY 10472",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 11:48 AM,3 Hours,BuildingsUnitsPopulation  1156153
"BROWNSVILLE - Building 07  289 BLAKE AVENUE  BROOKLYN, NY 11212",Elevator NO SERVICE,Unplanned,05/08/2020 5:48 AM,5 Hours,BuildingsUnitsPopulation  13696
"CAMPOS PLAZA II - Building 04  612 EAST 14TH STREET  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 1:01 PM,2 Hours,BuildingsUnitsPopulation  1128255
"CAREY GARDENS - Building 01  2946 WEST 23RD STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 11:21 AM,9 Hours,BuildingsUnitsPopulation  1243523
"CASTLE HILL - Building 12  2280 RANDALL AVENUE  BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,05/06/2020 1:39 PM,45 Hours,BuildingsUnitsPopulation  1142319
"CASTLE HILL - Building 14  535 HAVEMEYER AVENUE  BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 7:53 AM,3 Hours,BuildingsUnitsPopulation  1157383
"CASTLE HILL - Building 04  635 CASTLE HILL AVENUE  BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 10:55 AM,12 Hours,BuildingsUnitsPopulation  1152388
"CHELSEA - Building 02  415 WEST 25TH STREET  NEW YORK, NY 10001",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 3:15 PM,5 Hours,BuildingsUnitsPopulation  1121231
"CLINTON - Building 03  1738 LEXINGTON AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 1:00 PM,2 Hours,BuildingsUnitsPopulation  1139323
"CONEY ISLAND I (SITE 8) - Building 01  2950 WEST 35TH STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 7:47 AM,6 Hours,BuildingsUnitsPopulation  175272
"CONEY ISLAND I (SITES 4 & 5) - Building 01  2926 WEST 25TH STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,05/07/2020 3:43 AM,33 Hours,BuildingsUnitsPopulation  172176
"CYPRESS HILLS - Building 12  730 EUCLID AVENUE  BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,05/08/2020 6:43 PM,3 Hours,BuildingsUnitsPopulation  149108
"CYPRESS HILLS - Building 11  700 EUCLID AVENUE  BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,05/09/2020 8:13 AM,2 Hours,BuildingsUnitsPopulation  14984
"DAVIDSON - Building 01  818 HOME STREET  BRONX, NY 10459",Elevator NO SERVICE,Unplanned,05/09/2020 10:04 AM,1 Hours,BuildingsUnitsPopulation  1119412
"DREW-HAMILTON - Building 01  2660 F DOUGLASS BOULEVARD  NEW YORK, NY 10030",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 11:31 AM,2 Hours,BuildingsUnitsPopulation  1249556
"DYCKMAN - Building 07  3784 10TH AVENUE  NEW YORK, NY 10034",Elevator PARTIAL SERVICE,Unplanned,05/07/2020 9:17 PM,13 Hours,BuildingsUnitsPopulation  1168307
"DYCKMAN - Building 01  177 NAGLE AVENUE  NEW YORK, NY 10034",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 12:20 PM,2 Hours,BuildingsUnitsPopulation  1165294
"EAST RIVER - Building 06  405 EAST 102ND STREET  NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,05/08/2020 9:58 AM,4 Hours,BuildingsUnitsPopulation  13048
"EDENWALD - Building 15  1141 EAST 229TH STREET  BRONX, NY 10466",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 8:19 AM,2 Hours,BuildingsUnitsPopulation  1110248
"FARRAGUT - Building 06  224 YORK STREET  BROOKLYN, NY 11201",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 9:50 AM,3 Hours,BuildingsUnitsPopulation  1130289
"FOREST - Building 02  1020 TRINITY AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,05/07/2020 11:19 AM,16 Hours,BuildingsUnitsPopulation  1111248
"FULTON - Building 09  420 WEST 19TH STREET  NEW YORK, NY 10011",Elevator PARTIAL SERVICE,Unplanned,05/07/2020 6:10 PM,19 Hours,BuildingsUnitsPopulation  1219346
"GLENWOOD - Building 12  5901 GLENWOOD ROAD  BROOKLYN, NY 11234",Elevator NO SERVICE,Unplanned,05/09/2020 11:57 AM,4 Hours,BuildingsUnitsPopulation  13057
"GOWANUS - Building 06  195 HOYT STREET  BROOKLYN, NY 11217",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 4:32 PM,6 Hours,BuildingsUnitsPopulation  197242
"GOWANUS - Building 08  414 BALTIC STREET  BROOKLYN, NY 11217",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 7:08 AM,5 Hours,BuildingsUnitsPopulation  197241
"GRAMPION - Building 01  182 SAINT NICHOLAS AVENUE  NEW YORK, NY 10026",Elevator NO SERVICE,Unplanned,05/08/2020 9:00 AM,2 Hours,BuildingsUnitsPopulation  13567
"GRANT - Building 05  55 LA SALLE STREET  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 5:47 AM,7 Hours,BuildingsUnitsPopulation  1223489
"GRAVESEND - Building 12  3144 BAYVIEW AVENUE  BROOKLYN, NY 11224",Elevator NO SERVICE,Unplanned,05/08/2020 8:21 PM,3 Hours,BuildingsUnitsPopulation  14892
"HAMMEL - Building 08  81-10 ROCKAWAY BEACH BLVD.  QUEENS, NY 11693",Elevator NO SERVICE,Unplanned,05/08/2020 11:26 AM,3 Hours,BuildingsUnitsPopulation  148116
"HARLEM RIVER II - Building 08  2850 F DOUGLASS BOULEVARD  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 7:53 AM,5 Hours,BuildingsUnitsPopulation  1116281
"HOLMES TOWERS - Building 02  405 EAST 92ND STREET  NEW YORK, NY 10128",Elevator NO SERVICE,Unplanned,05/08/2020 9:15 PM,2 Hours,BuildingsUnitsPopulation  1273477
"HOWARD - Building 09  290 MOTHER GASTON BOULEVARD  BROOKLYN, NY 11212",Elevator NO SERVICE,Unplanned,05/07/2020 5:14 PM,8 Hours,BuildingsUnitsPopulation  13594
"HUGHES APARTMENTS - Building 01  301 SUTTER AVENUE  BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,05/07/2020 8:17 PM,6 Hours,BuildingsUnitsPopulation  1172449
"JEFFERSON - Building 18  2205 2ND AVENUE  NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,05/08/2020 3:01 PM,23 Hours,BuildingsUnitsPopulation  12773
"JEFFERSON - Building 10  310 EAST 113TH STREET  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 8:51 AM,4 Hours,BuildingsUnitsPopulation  154112
"JUSTICE SONIA SOTOMAYOR HOUSES - Building 09  1040 SOUNDVIEW AVENUE  BRONX, NY 10472",Elevator NO SERVICE,Unplanned,05/08/2020 3:26 PM,3 Hours,BuildingsUnitsPopulation  154115
"JUSTICE SONIA SOTOMAYOR HOUSES - Building 12  1744 WATSON AVENUE  BRONX, NY 10472",Elevator NO SERVICE,Unplanned,05/09/2020 9:49 AM,5 Hours,BuildingsUnitsPopulation  151113
"KING TOWERS - Building 01  70 WEST 115TH STREET  NEW YORK, NY 10026",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 9:03 AM,1 Hours,BuildingsUnitsPopulation  1126229
"KINGSBOROUGH EXTENSION - Building 17  447 KINGSBOROUGH 4TH WALK  BROOKLYN, NY 11233",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 8:03 AM,2 Hours,BuildingsUnitsPopulation  1184203
"LATIMER GARDENS - Building 01  34-25 LINDEN PLACE  QUEENS, NY 11354",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 12:30 AM,10 Hours,BuildingsUnitsPopulation  1108204
"LEHMAN - Building 02  80 EAST 110TH STREET  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,05/07/2020 4:22 PM,15 Hours,BuildingsUnitsPopulation  1157331
"LINCOLN - Building 04  2101 MADISON AVENUE  NEW YORK, NY 10037",Elevator PARTIAL SERVICE,Unplanned,05/07/2020 7:32 PM,10 Hours,BuildingsUnitsPopulation  1126283
"LINCOLN - Building 11  2120 MADISON AVENUE  NEW YORK, NY 10037",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 3:49 AM,18 Hours,BuildingsUnitsPopulation  1121265
