Address,Interruption,Planned,Reported On,Restoration Time,Impact
"LINCOLN - Building 07  2155 MADISON AVENUE  NEW YORK, NY 10037",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 11:31 AM,3 Hours,BuildingsUnitsPopulation  1126268
"LINDEN - Building 08  185 WORTMAN AVENUE  BROOKLYN, NY 11207",Elevator PARTIAL SERVICE,Unplanned,05/07/2020 10:10 PM,13 Hours,BuildingsUnitsPopulation  1194344
"LINDEN - Building 12  250 WORTMAN AVENUE  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,05/08/2020 1:26 AM,5 Hours,BuildingsUnitsPopulation  163151
"LINDEN - Building 18  295 COZINE AVENUE  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,05/09/2020 3:57 AM,2 Hours,BuildingsUnitsPopulation  163167
"MANHATTANVILLE REHAB (GROUP 3) - Building 01  529 WEST 133RD STREET  NEW YORK, NY 10027",Elevator NO SERVICE,Unplanned,05/08/2020 9:02 AM,2 Hours,BuildingsUnitsPopulation  13886
"MELROSE - Building 02  346 EAST 156TH STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 1:54 PM,2 Hours,BuildingsUnitsPopulation  1106302
"MITCHEL - Building 07  360 EAST 137TH STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,05/07/2020 9:06 PM,8 Hours,BuildingsUnitsPopulation  1173443
"MORRIS - Building 09  1372 WASHINGTON AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 2:57 PM,4 Hours,BuildingsUnitsPopulation  198202
"MORRISANIA - Building 01  450 EAST 169TH STREET  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,05/07/2020 6:24 PM,17 Hours,BuildingsUnitsPopulation  1104287
"MOTT HAVEN - Building 03  353 EAST 141ST STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 1:27 PM,5 Hours,BuildingsUnitsPopulation  1130295
"MOTT HAVEN - Building 07  355 EAST 143RD STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 3:10 PM,5 Hours,BuildingsUnitsPopulation  1117276
"MOTT HAVEN - Building 08  383 EAST 143RD STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 11:20 AM,4 Hours,BuildingsUnitsPopulation  1117279
"MOTT HAVEN - Building 01  388 EAST 141ST STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 7:20 PM,4 Hours,BuildingsUnitsPopulation  1117266
"MOTT HAVEN - Building 04  340 ALEXANDER AVENUE  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 10:11 AM,25 Hours,BuildingsUnitsPopulation  1122398
"MOTT HAVEN - Building 05  350 EAST 143RD STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 9:47 AM,4 Hours,BuildingsUnitsPopulation  1130352
"OCEAN BAY APARTMENTS (OCEANSIDE) - Building 05  353 BEACH 54TH STREET  QUEENS, NY 11692",Elevator NO SERVICE,Unplanned,05/09/2020 9:52 AM,4 Hours,BuildingsUnitsPopulation  13058
"PARK AVENUE-EAST 122ND (123RD STREET) - Building 02  115 EAST 122ND STREET  NEW YORK, NY 10035",Elevator NO SERVICE,Unplanned,05/08/2020 9:19 AM,2 Hours,BuildingsUnitsPopulation  142112
"PATTERSON - Building 14  2645 3RD AVENUE  BRONX, NY 10451",Elevator NO SERVICE,Unplanned,05/09/2020 9:32 AM,4 Hours,BuildingsUnitsPopulation  142107
"PENNSYLVANIA AVENUE-WORTMAN AVENUE - Building 01  875 PENNSYLVANIA AVENUE  BROOKLYN, NY 11207",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 7:01 AM,3 Hours,BuildingsUnitsPopulation  1207306
"PINK - Building 11  1305 LORING AVENUE  BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,05/08/2020 3:03 PM,5 Hours,BuildingsUnitsPopulation  178149
"PINK - Building 17  1306 LORING AVENUE  BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,05/08/2020 9:42 AM,2 Hours,BuildingsUnitsPopulation  163142
"POMONOK - Building 34  156-17 71ST. AVENUE  QUEENS, NY 11367",Elevator NO SERVICE,Unplanned,05/08/2020 5:52 PM,3 Hours,BuildingsUnitsPopulation  13060
"QUEENSBRIDGE NORTH - Building 03  40-09 12TH STREET  QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,05/08/2020 4:33 PM,2 Hours,BuildingsUnitsPopulation  13658
"QUEENSBRIDGE NORTH - Building 21  40-13 VERNON BLVD.  QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,05/08/2020 9:09 AM,1 Hours,BuildingsUnitsPopulation  13675
"QUEENSBRIDGE SOUTH - Building 23  41-04 VERNON BLVD.  QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,05/08/2020 3:55 PM,1 Hours,BuildingsUnitsPopulation  13667
"REDFERN - Building 02  14-68 BEACH CHANNEL DRIVE  QUEENS, NY 11691",Elevator NO SERVICE,Unplanned,05/08/2020 7:48 AM,3 Hours,BuildingsUnitsPopulation  13679
"REDFERN - Building 05  15-30 HASSOCK STREET  QUEENS, NY 11691",Elevator NO SERVICE,Unplanned,05/08/2020 10:16 AM,2 Hours,BuildingsUnitsPopulation  13675
"SAINT NICHOLAS - Building 02  240 WEST 129TH STREET  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,05/07/2020 8:10 PM,17 Hours,BuildingsUnitsPopulation  1109229
"SAINT NICHOLAS - Building 08  2410 F DOUGLASS BOULEVARD  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 4:16 PM,3 Hours,BuildingsUnitsPopulation  1108237
"SAINT NICHOLAS - Building 07  255 WEST 127TH STREET  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 5:13 PM,11 Hours,BuildingsUnitsPopulation  1111262
"SMITH - Building 03  182 SOUTH STREET  NEW YORK, NY 10038",Elevator NO SERVICE,Unplanned,05/07/2020 11:31 PM,4 Hours,BuildingsUnitsPopulation  1160327
"SOUNDVIEW - Building 04  1670 SEWARD AVENUE  BRONX, NY 10473",Elevator NO SERVICE,Unplanned,05/09/2020 10:55 AM,5 Hours,BuildingsUnitsPopulation  149105
"SUMNER - Building 10  979 MYRTLE AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,05/07/2020 7:52 PM,9 Hours,BuildingsUnitsPopulation  13681
"SURFSIDE GARDENS - Building 05  2820 WEST 32ND STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 9:43 AM,6 Hours,BuildingsUnitsPopulation  1108193
"TAYLOR STREET-WYTHE AVENUE - Building 03  611 WYTHE AVENUE  BROOKLYN, NY 11211",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 8:35 AM,3 Hours,BuildingsUnitsPopulation  188164
"TILDEN - Building 07  305 LIVONIA AVENUE  BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 3:24 PM,8 Hours,BuildingsUnitsPopulation  1126300
"TOMPKINS - Building 04  212 THROOP AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,05/07/2020 9:42 AM,27 Hours,BuildingsUnitsPopulation  1123330
"TOMPKINS - Building 03  196 THROOP AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 11:18 AM,2 Hours,BuildingsUnitsPopulation  161154
"UNITY PLAZA (SITES 17-24-25A)2 - Building 03  611 BLAKE AVENUE  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,05/07/2020 11:53 PM,6 Hours,BuildingsUnitsPopulation  155175
"UNITY PLAZA (SITES 4-27) - Building 02  545 DUMONT AVENUE  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,05/08/2020 7:21 PM,3 Hours,BuildingsUnitsPopulation  147105
"VAN DYKE I - Building 11  372 BLAKE AVENUE  BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 3:49 PM,4 Hours,BuildingsUnitsPopulation  1108241
"VAN DYKE I - Building 01  414 SUTTER AVENUE  BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 11:13 AM,2 Hours,BuildingsUnitsPopulation  1112241
"WAGNER - Building 09  2360 1ST AVENUE  NEW YORK, NY 10035",Elevator PARTIAL SERVICE,Unplanned,05/07/2020 10:33 PM,14 Hours,BuildingsUnitsPopulation  1120265
"WALD - Building 14  691 FDR DRIVE  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 1:48 PM,2 Hours,BuildingsUnitsPopulation  1125271
"WASHINGTON - Building 03  1895 2ND AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 7:23 PM,20 Hours,BuildingsUnitsPopulation  1109220
"WEBSTER - Building 02  420 EAST 169TH STREET  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 2:40 AM,3 Hours,BuildingsUnitsPopulation  1122260
"WHITMAN - Building 05  104 CARLTON AVENUE  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,05/09/2020 11:06 AM,2 Hours,BuildingsUnitsPopulation  14874
"WYCKOFF GARDENS - Building 02  185 NEVINS STREET  BROOKLYN, NY 11217",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 3:27 PM,3 Hours,BuildingsUnitsPopulation  1174365
