Address,Interruption,Planned,Reported On,Status,Impact
"BEACH 41ST STREET-BEACH CHANNEL DRIVE - Building 04  456 BEACH 40TH STREET  QUEENS, NY 11691",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 2:39 PM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  1119265
"BOSTON SECOR - Building 04  2175 REEDS MILL LANE  BRONX, NY 10475",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 11:29 AM,NYCHA Staff Assigned NYCHA Staff has been assigned to work on the issue,BuildingsUnitsResidents  1123297
"DAVIDSON - Building 01  818 HOME STREET  BRONX, NY 10459",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 10:03 AM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  1119412
"EDENWALD - Building 15  1141 EAST 229TH STREET  BRONX, NY 10466",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 1:27 PM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  1110248
"GLENWOOD - Building 12  5817 GLENWOOD ROAD  BROOKLYN, NY 11234",Elevator NO SERVICE,Unplanned,05/09/2020 11:38 AM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  13061
"JACKSON - Building 02  300 EAST 158TH STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 12:40 PM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  1123315
"MOTT HAVEN - Building 04  340 ALEXANDER AVENUE  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 8:31 AM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  1122398
"MOTT HAVEN - Building 08  383 EAST 143RD STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 11:29 AM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  1117279
"WEST TREMONT AVENUE-SEDGWICK AVENUE AREA - Building 01  228 WEST TREMONT AVENUE  BRONX, NY 10453",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 11:30 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1148166
