Address,Interruption,Planned,Reported On,Restoration Time,Impact
"ATLANTIC TERMINAL SITE 4B - Building 01  487 CARLTON AVENUE  BROOKLYN, NY 11238",Water,Unplanned,05/08/2020 7:41 AM,9 Hours,BuildingsUnitsPopulation  1300586
"BARUCH - Building 10  105 BARUCH DRIVE  NEW YORK, NY 10002",Water,Unplanned,05/07/2020 6:30 PM,16 Hours,BuildingsUnitsPopulation  1134296
"BARUCH - Building 16  120 COLUMBIA STREET  NEW YORK, NY 10002",Water,Unplanned,05/07/2020 6:30 PM,16 Hours,BuildingsUnitsPopulation  1132276
"BARUCH - Building 17  140 COLUMBIA STREET  NEW YORK, NY 10002",Water,Unplanned,05/07/2020 6:30 PM,16 Hours,BuildingsUnitsPopulation  1134290
"BARUCH - Building 05  64 BARUCH DRIVE  NEW YORK, NY 10002",Water,Planned,05/08/2020 8:00 AM,13 Hours,BuildingsUnitsPopulation  1134309
"BARUCH - Building 11  79 BARUCH DRIVE  NEW YORK, NY 10002",Water,Unplanned,05/07/2020 6:30 PM,16 Hours,BuildingsUnitsPopulation  1130227
"BARUCH - Building 08  90 BARUCH DRIVE  NEW YORK, NY 10002",Water,Unplanned,05/07/2020 9:30 PM,12 Hours,BuildingsUnitsPopulation  1134309
"EASTCHESTER GARDENS - Entire Development  1134 BURKE AVENUE  BRONX, NY 10469",Hot Water,Unplanned,05/08/2020 5:30 PM,3 Hours,"BuildingsUnitsPopulation  108771,976"
"EDENWALD - Building 14  1135 EAST 229TH STREET  BRONX, NY 10466",Hot Water,Unplanned,05/08/2020 9:32 AM,6 Hours,BuildingsUnitsPopulation  1110221
"RED HOOK WEST 135 RICHARDS STREET  BROOKLYN, NY 11231",Hot Water,Unplanned,05/07/2020 10:30 PM,9 Hours,BuildingsUnitsPopulation  197228
"ROBBINS PLAZA - Entire Development  341 EAST 70TH STREET  NEW YORK, NY 10021",Heat  Hot Water,Planned  Planned,05/07/2020 11:00 PM,6 Hours,BuildingsUnitsPopulation  1150163
"THROGGS NECK - Entire Development  2731 SAMPSON AVENUE  BRONX, NY 10465",Heat  Hot Water,Unplanned  Unplanned,05/08/2020 5:40 PM,6 Hours,"BuildingsUnitsPopulation  311,1852,551"
"WEST TREMONT AVENUE-SEDGWICK AVENUE AREA - Entire Development  228 WEST TREMONT AVENUE  BRONX, NY 10453",Heat,Unplanned,05/08/2020 9:33 AM,14 Hours,BuildingsUnitsPopulation  1148166
