,Address,Interruption,Planned,Reported On,Restoration Time,Impact
0,"GRANT 3150 BROADWAY  NEW YORK, NY 10027  Line K",Electric NO SERVICE,Unplanned,02/26/2020 1:55 PM,7 Hours,BuildingsUnitsPopulation  12027
1,"ISAACS - Building 02  1830 1ST AVENUE  NEW YORK, NY 10128",Electric PARTIAL SERVICE,Planned,02/26/2020 8:00 AM,6 Hours,BuildingsUnitsPopulation  1215397
2,"JACKSON - Building 03  785 COURTLANDT AVENUE  BRONX, NY 10451",Electric NO SERVICE,Planned,02/26/2020 8:00 AM,9 Hours,BuildingsUnitsPopulation  1122329
3,"JOHNSON - Entire Development  1581 PARK AVENUE  NEW YORK, NY 10029",Electric PARTIAL SERVICE,Unplanned,02/26/2020 10:16 AM,2 Hours,"BuildingsUnitsPopulation  101,3103,056"
