,Address,Interruption,Planned,Reported On,Restoration Time,Impact
51,"LINDEN - Building 02  580 STANLEY AVENUE  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,02/26/2020 1:31 PM,2 Hours,BuildingsUnitsPopulation  163151
52,"LONG ISLAND BAPTIST HOUSES - Building 04  340 WILLIAMS AVENUE  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,02/25/2020 6:14 PM,12 Hours,BuildingsUnitsPopulation  156117
53,"LONG ISLAND BAPTIST HOUSES - Building 03  428 SHEFFIELD AVENUE  BROOKLYN, NY 11207",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 6:45 PM,17 Hours,BuildingsUnitsPopulation  173166
54,"LOWER EAST SIDE REHAB (GROUP 5) - Building 01  89 AVENUE C  NEW YORK, NY 10009",Elevator NO SERVICE,Unplanned,02/26/2020 3:51 PM,4 Hours,BuildingsUnitsPopulation  13374
55,"MARBLE HILL - Building 11  210 WEST 230TH STREET  BRONX, NY 10463",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 3:08 PM,3 Hours,BuildingsUnitsPopulation  1154268
56,"MARCY - Building 24  125 NOSTRAND AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/27/2020 3:28 AM,3 Hours,BuildingsUnitsPopulation  12470
57,"MARCY - Building 01  452 MARCY AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/26/2020 1:06 PM,2 Hours,BuildingsUnitsPopulation  12437
58,"MELROSE - Building 07  281 EAST 153RD STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 5:03 PM,2 Hours,BuildingsUnitsPopulation  1140296
59,"MELROSE - Building 06  304 EAST 156TH STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 5:53 PM,6 Hours,BuildingsUnitsPopulation  1136305
60,"MORRIS II - Building 17  1451 WASHINGTON AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 6:31 PM,3 Hours,BuildingsUnitsPopulation  1126344
61,"MORRISANIA AIR RIGHTS - Building 03  3204 PARK AVENUE  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 6:19 PM,4 Hours,BuildingsUnitsPopulation  1144284
62,"MOTT HAVEN - Building 02  383 EAST 141ST STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 9:07 PM,2 Hours,BuildingsUnitsPopulation  1130316
63,"O'DWYER GARDENS - Building 04  2940 WEST 33RD STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 7:05 AM,4 Hours,BuildingsUnitsPopulation  193148
64,"PATTERSON - Building 13  324 EAST 143RD STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 5:49 AM,5 Hours,BuildingsUnitsPopulation  1104218
65,"PENNSYLVANIA AVENUE-WORTMAN AVENUE - Building 01  875 PENNSYLVANIA AVENUE  BROOKLYN, NY 11207",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 10:53 AM,4 Hours,BuildingsUnitsPopulation  1207308
66,"POLO GROUNDS TOWERS - Building 02  2971 F DOUGLASS BOULEVARD  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 5:01 PM,22 Hours,BuildingsUnitsPopulation  1210472
67,"POLO GROUNDS TOWERS - Building 02  2979 F DOUGLASS BOULEVARD  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 5:02 PM,18 Hours,BuildingsUnitsPopulation  1208472
68,"POLO GROUNDS TOWERS - Building 04  2999 F DOUGLASS BOULEVARD  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 7:51 PM,9 Hours,BuildingsUnitsPopulation  1180532
69,"POMONOK - Building 15  67-12 PARSONS BLVD.  QUEENS, NY 11365",Elevator NO SERVICE,Unplanned,02/26/2020 5:07 PM,0 Hours,BuildingsUnitsPopulation  12452
70,"POMONOK - Building 15  67-14 PARSONS BLVD.  QUEENS, NY 11365",Elevator NO SERVICE,Unplanned,02/26/2020 5:19 PM,6 Hours,BuildingsUnitsPopulation  12860
71,"PSA 6 - Building 01  2770 F DOUGLASS BOULEVARD  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 3:27 PM,23 Hours,BuildingsUnitsPopulation  100
72,"QUEENSBRIDGE NORTH - Building 01  40-01 12TH STREET  QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,02/26/2020 5:47 PM,5 Hours,BuildingsUnitsPopulation  13671
73,"QUEENSBRIDGE NORTH - Building 02  40-07 12TH STREET  QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,02/26/2020 5:16 PM,3 Hours,BuildingsUnitsPopulation  13084
74,"QUEENSBRIDGE NORTH - Building 03  40-10 12TH STREET  QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,02/25/2020 5:03 PM,10 Hours,BuildingsUnitsPopulation  13656
75,"QUEENSBRIDGE SOUTH - Building 05  41-02 12TH STREET  QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,02/26/2020 8:30 PM,2 Hours,BuildingsUnitsPopulation  13661
76,"RANGEL - Building 06  159-64 HARLEM RIVER DRIVE  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 6:20 PM,25 Hours,BuildingsUnitsPopulation  1112264
77,"RED HOOK EAST - Building 07  774 HENRY STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,02/26/2020 6:15 PM,4 Hours,BuildingsUnitsPopulation  13660
78,"RED HOOK WEST - Building 25  17 LORRAINE STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,02/26/2020 6:17 AM,4 Hours,BuildingsUnitsPopulation  12463
79,"RED HOOK WEST - Building 21  452 COLUMBIA STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,02/26/2020 8:53 AM,3 Hours,BuildingsUnitsPopulation  13648
80,"RED HOOK WEST - Building 22  466 COLUMBIA STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,02/26/2020 2:01 PM,1 Hours,BuildingsUnitsPopulation  12456
81,"RED HOOK WEST - Building 16  75 BUSH STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,02/26/2020 9:59 AM,2 Hours,BuildingsUnitsPopulation  12461
82,"RIIS - Building 07  1023 FDR DRIVE  NEW YORK, NY 10009",Elevator NO SERVICE,Unplanned,02/26/2020 4:58 PM,3 Hours,BuildingsUnitsPopulation  12461
83,"ROOSEVELT I - Building 02  927 DEKALB AVENUE  BROOKLYN, NY 11221",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 6:03 PM,24 Hours,BuildingsUnitsPopulation  1116281
84,"RUTGERS - Building 04  38 RUTGERS STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 3:52 PM,6 Hours,BuildingsUnitsPopulation  1137293
85,"SAINT NICHOLAS - Building 10  260 WEST 131ST STREET  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 3:12 PM,7 Hours,BuildingsUnitsPopulation  1108235
86,"SEDGWICK - Building 03  160 WEST 174TH STREET  BRONX, NY 10453",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 8:41 AM,7 Hours,BuildingsUnitsPopulation  1116213
87,"SEDGWICK - Building 07  164 WEST 174TH STREET  BRONX, NY 10453",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 8:47 AM,4 Hours,BuildingsUnitsPopulation  1112214
88,"SOUNDVIEW - Building 12  1711 LACOMBE AVENUE  BRONX, NY 10473",Elevator NO SERVICE,Unplanned,02/27/2020 2:58 AM,4 Hours,BuildingsUnitsPopulation  149105
89,"SOUNDVIEW - Building 13  515 ROSEDALE AVENUE  BRONX, NY 10473",Elevator NO SERVICE,Unplanned,02/26/2020 11:48 PM,3 Hours,BuildingsUnitsPopulation  149109
90,"SUMNER - Building 11  56 MARCUS GARVEY BOULEVARD  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 5:57 PM,2 Hours,BuildingsUnitsPopulation  1106161
91,"TAFT - Building 08  65 EAST 112TH STREET  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 6:03 PM,12 Hours,BuildingsUnitsPopulation  1186328
92,"TOMPKINS - Building 07  99 TOMPKINS AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 5:57 PM,4 Hours,BuildingsUnitsPopulation  159151
93,"WAGNER - Building 19  2390 2ND AVENUE  NEW YORK, NY 10035",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 11:15 AM,51 Hours,BuildingsUnitsPopulation  1125278
94,"WAGNER - Building 07  50 PALADINO AVENUE  NEW YORK, NY 10035",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 9:14 AM,3 Hours,BuildingsUnitsPopulation  1121264
95,"WASHINGTON - Building 07  1809 3RD AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 4:07 PM,4 Hours,BuildingsUnitsPopulation  1110279
96,"WHITMAN - Building 11  68 CUMBERLAND WALK  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,02/26/2020 10:15 AM,2 Hours,BuildingsUnitsPopulation  1102229
