,Address,Interruption,Planned,Reported On,Restoration Time,Impact
0,"ADAMS - Building 06  680 TINTON AVENUE  BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 5:11 PM,2 Hours,BuildingsUnitsPopulation  1143385
1,"AMSTERDAM - Building 06  216 WEST 64TH STREET  NEW YORK, NY 10023",Elevator NO SERVICE,Unplanned,02/26/2020 8:35 PM,8 Hours,BuildingsUnitsPopulation  13051
2,"AMSTERDAM ADDITION - Building 01  250 WEST 65TH STREET  NEW YORK, NY 10023",Elevator NO SERVICE,Unplanned,02/25/2020 3:30 PM,23 Hours,BuildingsUnitsPopulation  1175335
3,"BEACH 41ST STREET-BEACH CHANNEL DRIVE - Building 01  433 BEACH 40TH STREET  QUEENS, NY 11691",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 5:00 PM,3 Hours,BuildingsUnitsPopulation  1119277
4,"BEDFORD-STUYVESANT REHAB - Building 01  701 WILLOUGHBY AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/26/2020 9:24 AM,3 Hours,BuildingsUnitsPopulation  12977
5,"BOSTON SECOR - Building 02  3555 BIVONA STREET  BRONX, NY 10475",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 1:12 AM,3 Hours,BuildingsUnitsPopulation  1159372
6,"BRACETTI PLAZA - Building 01  290 EAST 4TH STREET  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 9:44 PM,9 Hours,BuildingsUnitsPopulation  13087
7,"BREUKELEN - Building 08  103-12 GLENWOOD ROAD  BROOKLYN, NY 11236",Elevator NO SERVICE,Unplanned,02/26/2020 9:41 AM,2 Hours,BuildingsUnitsPopulation  13564
8,"BREUKELEN - Building 23  617 EAST 108TH STREET  BROOKLYN, NY 11236",Elevator NO SERVICE,Unplanned,02/26/2020 2:56 PM,5 Hours,BuildingsUnitsPopulation  13565
9,"BROWNSVILLE - Building 17  281 DUMONT AVENUE  BROOKLYN, NY 11212",Elevator NO SERVICE,Unplanned,02/26/2020 11:38 PM,5 Hours,BuildingsUnitsPopulation  154120
10,"BUSHWICK - Building 07  140 MOORE STREET  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 10:36 AM,9 Hours,BuildingsUnitsPopulation  1113297
11,"BUSHWICK - Building 06  370 BUSHWICK AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 12:38 PM,12 Hours,BuildingsUnitsPopulation  1111309
12,"BUSHWICK - Building 01  811 FLUSHING AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 7:24 AM,4 Hours,BuildingsUnitsPopulation  1194417
13,"BUTLER - Building 02  1348 WEBSTER AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 10:26 AM,3 Hours,BuildingsUnitsPopulation  1251749
14,"CAMPOS PLAZA II - Building 04  612 EAST 14TH STREET  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 10:49 PM,7 Hours,BuildingsUnitsPopulation  1128258
15,"CAREY GARDENS - Building 02  2945 WEST 23RD STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 7:24 AM,5 Hours,BuildingsUnitsPopulation  1226555
16,"CAREY GARDENS - Building 01  2946 WEST 23RD STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 7:02 AM,3 Hours,BuildingsUnitsPopulation  1243531
17,"CARVER - Building 05  60 EAST 102ND STREET  NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,02/26/2020 7:02 AM,2 Hours,BuildingsUnitsPopulation  1118247
18,"CASTLE HILL - Building 09  2245 RANDALL AVENUE  BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 6:37 PM,12 Hours,BuildingsUnitsPopulation  1142314
19,"CASTLE HILL - Building 10  2275 RANDALL AVENUE  BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 8:13 AM,2 Hours,BuildingsUnitsPopulation  1142341
20,"CLINTON - Building 01  1505 PARK AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 5:37 PM,11 Hours,BuildingsUnitsPopulation  1140324
21,"CONEY ISLAND - Building 01  3025 WEST 32ND STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 9:00 AM,5 Hours,BuildingsUnitsPopulation  1104223
22,"CONEY ISLAND - Building 05  3028 WEST 29TH STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 12:42 AM,11 Hours,BuildingsUnitsPopulation  1109221
23,"CONEY ISLAND I (SITES 4 & 5) - Building 01  2925 WEST 27TH STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 9:27 AM,2 Hours,BuildingsUnitsPopulation  172210
24,"CONEY ISLAND I (SITES 4 & 5) - Building 01  2947 WEST 28TH STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 4:03 PM,4 Hours,BuildingsUnitsPopulation  145140
25,"CYPRESS HILLS - Building 06  345 FOUNTAIN AVENUE  BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,02/26/2020 3:33 PM,4 Hours,BuildingsUnitsPopulation  149115
26,"CYPRESS HILLS - Building 10  495 FOUNTAIN AVENUE  BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,02/26/2020 6:26 PM,2 Hours,BuildingsUnitsPopulation  149114
27,"CYPRESS HILLS - Building 12  740 EUCLID AVENUE  BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,02/25/2020 7:26 PM,9 Hours,BuildingsUnitsPopulation  149124
28,"DREW-HAMILTON - Building 05  200 WEST 143RD STREET  NEW YORK, NY 10030",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 12:06 PM,8 Hours,BuildingsUnitsPopulation  1240509
29,"DREW-HAMILTON - Building 04  2430 A C POWELL BOULEVARD  NEW YORK, NY 10030",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 12:08 PM,3 Hours,BuildingsUnitsPopulation  1238539
30,"DREW-HAMILTON - Building 02  2680 F DOUGLASS BOULEVARD  NEW YORK, NY 10030",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 7:12 PM,2 Hours,BuildingsUnitsPopulation  1244521
31,"EAST RIVER - Building 05  440 EAST 105TH STREET  NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,02/25/2020 10:30 PM,5 Hours,BuildingsUnitsPopulation  180148
32,"GOMPERS - Building 02  70 PITT STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 9:19 AM,3 Hours,BuildingsUnitsPopulation  1119282
33,"HABER - Building 02  3018 WEST 24TH STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 7:04 AM,4 Hours,BuildingsUnitsPopulation  1128154
34,"HABER - Building 01  3058 WEST 24TH STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 9:00 AM,30 Hours,BuildingsUnitsPopulation  1128141
35,"HOLMES TOWERS - Building 02  405 EAST 92ND STREET  NEW YORK, NY 10128",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 9:08 AM,3 Hours,BuildingsUnitsPopulation  1273479
36,"INGERSOLL - Building 21  46 SAINT EDWARDS STREET  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,02/26/2020 8:30 AM,5 Hours,BuildingsUnitsPopulation  188190
37,"JACKSON - Building 04  765 COURTLANDT AVENUE  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 5:47 AM,2 Hours,BuildingsUnitsPopulation  1124298
38,"JOHNSON - Building 10  1829 LEXINGTON AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 6:28 PM,4 Hours,BuildingsUnitsPopulation  1104240
39,"JOHNSON - Building 10  1839 LEXINGTON AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 10:09 AM,2 Hours,BuildingsUnitsPopulation  1105244
40,"JUSTICE SONIA SOTOMAYOR HOUSES - Building 12  1744 WATSON AVENUE  BRONX, NY 10472",Elevator NO SERVICE,Planned,02/26/2020 9:30 AM,3 Hours,BuildingsUnitsPopulation  151113
41,"JUSTICE SONIA SOTOMAYOR HOUSES - Building 27  1815 BRUCKNER BOULEVARD  BRONX, NY 10472",Elevator NO SERVICE,Planned,02/26/2020 9:30 AM,1 Hours,BuildingsUnitsPopulation  154115
42,"JUSTICE SONIA SOTOMAYOR HOUSES - Building 28  1825 BRUCKNER BOULEVARD  BRONX, NY 10472",Elevator NO SERVICE,Planned,02/26/2020 9:30 AM,2 Hours,BuildingsUnitsPopulation  154111
43,"KING TOWERS - Building 02  40 WEST 115TH STREET  NEW YORK, NY 10026",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 9:14 AM,7 Hours,BuildingsUnitsPopulation  1140334
44,"LA GUARDIA - Building 05  240 MADISON STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 6:54 PM,5 Hours,BuildingsUnitsPopulation  1123277
45,"LA GUARDIA - Building 04  300 CHERRY STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Planned,02/26/2020 10:00 AM,1 Hours,BuildingsUnitsPopulation  1123256
46,"LA GUARDIA - Building 02  55 RUTGERS STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Planned,02/26/2020 10:00 AM,3 Hours,BuildingsUnitsPopulation  1124259
47,"LA GUARDIA - Building 03  65 JEFFERSON STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Planned,02/26/2020 10:00 AM,6 Hours,BuildingsUnitsPopulation  1108261
48,"LAFAYETTE - Building 02  456 DEKALB AVENUE  BROOKLYN, NY 11205",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 12:21 AM,5 Hours,BuildingsUnitsPopulation  1154458
49,"LINCOLN - Building 02  1980 PARK AVENUE  NEW YORK, NY 10037",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 11:08 PM,24 Hours,BuildingsUnitsPopulation  1126261
50,"LINDEN - Building 19  285 COZINE AVENUE  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,02/26/2020 6:59 PM,4 Hours,BuildingsUnitsPopulation  163150
