,Address,Interruption,Planned,Reported On,Status,Impact
0,"GOWANUS 241 HOYT STREET  BROOKLYN, NY 11217",Water,Unplanned,02/26/2020 4:04 PM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  162129
1,"HABER - Building 01  3058 WEST 24TH STREET  BROOKLYN, NY 11224",Water,Planned,02/27/2020 7:30 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1128141
