,Address,Interruption,Scheduled Date,Impact
0,"JACKSON - Building 06  285 EAST 156TH STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,02/28/2020 8:00 AM,BuildingsUnitsResidents  1124285
1,"JACKSON - Building 04  765 COURTLANDT AVENUE  BRONX, NY 10451",Elevator NO SERVICE,02/27/2020 8:00 AM,BuildingsUnitsResidents  1124298
2,"PELHAM PARKWAY - Building 05  2430 BRONXWOOD AVENUE  BRONX, NY 10469",Elevator PARTIAL SERVICE,02/27/2020 10:45 AM,BuildingsUnitsResidents  13058
3,"PELHAM PARKWAY - Building 05  925 WARING AVENUE  BRONX, NY 10469",Elevator PARTIAL SERVICE,02/27/2020 8:00 AM,BuildingsUnitsResidents  13055
