,Address,Interruption,Scheduled Date,Impact
0,"ASTORIA - Building 07  3-04 27TH AVENUE  ASTORIA, NY 11102",Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  148138
1,"BREVOORT - Entire Development  292 RALPH AVENUE  BROOKLYN, NY 11233",Heat  Hot Water,03/03/2020 8:00 AM,"BuildingsUnitsResidents  148961,823"
2,"CYPRESS HILLS - Building 05  1200 SUTTER AVENUE  BROOKLYN, NY 11208",Heat  Hot Water,03/09/2020 10:00 AM,BuildingsUnitsResidents  198226
3,"CYPRESS HILLS - Building 04  1250 SUTTER AVENUE  BROOKLYN, NY 11208",Heat  Hot Water,03/02/2020 10:00 AM,BuildingsUnitsResidents  198195
4,"CYPRESS HILLS - Building 06  345 FOUNTAIN AVENUE  BROOKLYN, NY 11208",Heat  Hot Water,03/05/2020 10:00 AM,BuildingsUnitsResidents  194222
5,"O'DWYER GARDENS - Building 02  3309 SURF AVENUE  BROOKLYN, NY 11224",Heat,02/27/2020 9:00 AM,BuildingsUnitsResidents  187126
6,"PATTERSON - Building 12  325 EAST 143RD STREET  BRONX, NY 10451",Heat,02/27/2020 8:00 AM,BuildingsUnitsResidents  1208435
7,"TOMPKINS - Entire Development  65 TOMPKINS AVENUE  BROOKLYN, NY 11206",Water,02/27/2020 10:00 AM,"BuildingsUnitsResidents  91,0462,788"
