Address,Interruption,Planned,Reported On,Status,Impact
"ISAACS - Building 02  1830 1ST AVENUE  NEW YORK, NY 10128",Electric PARTIAL SERVICE,Planned,02/28/2020 8:00 AM,NYCHA Staff and Vendor Working NYCHA Staff and Vendor are working to fix the issue,BuildingsUnitsResidents  1215397
"LA GUARDIA - Building 04  300 CHERRY STREET  NEW YORK, NY 10002",Electric PARTIAL SERVICE,Planned,02/18/2020 8:00 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1123256
