Address,Interruption,Planned,Reported On,Restoration Time,Impact
"GLENWOOD - Building 18  1736 RALPH AVENUE  BROOKLYN, NY 11236",Elevator NO SERVICE,Unplanned,02/29/2020 10:02 AM,3 Hours,BuildingsUnitsPopulation  13059
"GRANT - Building 06  1315 AMSTERDAM AVENUE  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 10:54 AM,25 Hours,BuildingsUnitsPopulation  1226508
"GRANT - Building 05  55 LA SALLE STREET  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 9:18 AM,29 Hours,BuildingsUnitsPopulation  1223488
"GUN HILL - Building 01  711 MAGENTA STREET  BRONX, NY 10467",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 4:02 PM,19 Hours,BuildingsUnitsPopulation  1113240
"HIGHBRIDGE GARDENS - Building 03  1095 UNIVERSITY AVENUE  BRONX, NY 10452",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 9:17 AM,5 Hours,BuildingsUnitsPopulation  1116257
"HYLAN - Building 01  131 MOORE STREET  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 3:15 PM,4 Hours,BuildingsUnitsPopulation  1209428
"INGERSOLL - Building 21  36 SAINT EDWARDS STREET  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,02/28/2020 5:59 PM,6 Hours,BuildingsUnitsPopulation  188181
"INGERSOLL - Building 20  50 MONUMENT WALK  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,02/28/2020 8:00 AM,4 Hours,BuildingsUnitsPopulation  13059
"INGERSOLL - Building 19  74 SAINT EDWARDS STREET  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,02/28/2020 9:48 AM,4 Hours,BuildingsUnitsPopulation  12450
"JACKSON - Building 06  285 EAST 156TH STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Planned,02/28/2020 8:00 AM,6 Hours,BuildingsUnitsPopulation  1124284
"JACKSON - Building 04  765 COURTLANDT AVENUE  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 7:00 PM,17 Hours,BuildingsUnitsPopulation  1124298
"JEFFERSON - Building 09  325 EAST 112TH STREET  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 2:56 PM,15 Hours,BuildingsUnitsPopulation  154107
"JOHNSON - Building 05  1830 LEXINGTON AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 9:06 AM,3 Hours,BuildingsUnitsPopulation  194239
"JOHNSON - Building 03  123 EAST 112TH STREET  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 6:40 PM,17 Hours,BuildingsUnitsPopulation  1108265
"JOHNSON - Building 09  2060 3RD AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 1:20 PM,6 Hours,BuildingsUnitsPopulation  1112239
"JOHNSON - Building 08  2070 3RD AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/29/2020 2:04 AM,3 Hours,BuildingsUnitsPopulation  1112237
"KING TOWERS - Building 03  20 WEST 115TH STREET  NEW YORK, NY 10026",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 10:40 PM,16 Hours,BuildingsUnitsPopulation  1140300
"LAFAYETTE - Building 03  470 DEKALB AVENUE  BROOKLYN, NY 11205",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 12:20 PM,2 Hours,BuildingsUnitsPopulation  1110283
"LATIMER GARDENS - Building 01  34-25 LINDEN PLACE  QUEENS, NY 11354",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 5:16 PM,44 Hours,BuildingsUnitsPopulation  1108207
