Address,Interruption,Scheduled Date,Impact
"ASTORIA - Building 23  1-04 ASTORIA BOULEVARD  ASTORIA, NY 11102",Electric NO SERVICE,03/05/2020 8:00 AM,BuildingsUnitsResidents  148114
"CONEY ISLAND I (SITE 1B) - Building 01  2007 SURF AVENUE  BROOKLYN, NY 11224",Electric NO SERVICE,03/03/2020 11:00 AM,BuildingsUnitsResidents  1193500
"ISAACS - Building 02  1830 1ST AVENUE  NEW YORK, NY 10128",Electric PARTIAL SERVICE,03/02/2020 8:00 AM,BuildingsUnitsResidents  1215397
"ISAACS - Building 02  1830 1ST AVENUE  NEW YORK, NY 10128",Electric PARTIAL SERVICE,03/03/2020 8:00 AM,BuildingsUnitsResidents  1215397
"RIIS II - Building 15  749 FDR DRIVE  NEW YORK, NY 10009",Electric NO SERVICE,03/02/2020 8:00 AM,BuildingsUnitsResidents  1124238
