Address,Interruption,Scheduled Date,Impact
"JUSTICE SONIA SOTOMAYOR HOUSES - Building 12  1744 WATSON AVENUE  BRONX, NY 10472",Water,03/04/2020 8:00 AM,BuildingsUnitsResidents  151113
"JUSTICE SONIA SOTOMAYOR HOUSES - Building 15  1750 WATSON AVENUE  BRONX, NY 10472",Water,03/04/2020 8:00 AM,BuildingsUnitsResidents  15098
"JUSTICE SONIA SOTOMAYOR HOUSES - Building 14  1755 BRUCKNER BOULEVARD  BRONX, NY 10472",Water,03/04/2020 8:00 AM,BuildingsUnitsResidents  154124
"JUSTICE SONIA SOTOMAYOR HOUSES - Building 16  1760 WATSON AVENUE  BRONX, NY 10472",Water,03/04/2020 8:00 AM,BuildingsUnitsResidents  154108
"JUSTICE SONIA SOTOMAYOR HOUSES - Building 20  1775 BRUCKNER BOULEVARD  BRONX, NY 10472",Water,03/04/2020 8:00 AM,BuildingsUnitsResidents  15497
"JUSTICE SONIA SOTOMAYOR HOUSES - Building 17  1780 WATSON AVENUE  BRONX, NY 10472",Water,03/04/2020 8:00 AM,BuildingsUnitsResidents  154116
"JUSTICE SONIA SOTOMAYOR HOUSES - Building 19  1781 BRUCKNER BOULEVARD  BRONX, NY 10472",Water,03/04/2020 8:00 AM,BuildingsUnitsResidents  154126
"JUSTICE SONIA SOTOMAYOR HOUSES - Building 21  1791 BRUCKNER BOULEVARD  BRONX, NY 10472",Water,03/04/2020 8:00 AM,BuildingsUnitsResidents  154115
"LA GUARDIA - Building 05  240 MADISON STREET  NEW YORK, NY 10002",Hot Water,03/03/2020 9:00 AM,BuildingsUnitsResidents  1123277
"LA GUARDIA ADDITION - Entire Development  282 CHERRY STREET  NEW YORK, NY 10002",Hot Water,03/03/2020 9:00 AM,BuildingsUnitsResidents  1150189
"LAFAYETTE - Building 07  433 LAFAYETTE AVENUE  BROOKLYN, NY 11238",Heat,03/02/2020 9:00 AM,BuildingsUnitsResidents  1156449
"PARK AVENUE-EAST 122ND (123RD STREET) - Entire Development  120 EAST 123RD STREET  MANHATTAN, NY 10035",Heat  Hot Water,03/05/2020 9:00 AM,BuildingsUnitsResidents  390216
"RED HOOK EAST - Building 03  624 CLINTON STREET  BROOKLYN, NY 11231",Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  1120223
"RED HOOK EAST - Building 05  748 HENRY STREET  BROOKLYN, NY 11231",Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  190182
"RED HOOK EAST - Building 04  92 CENTRE MALL  BROOKLYN, NY 11231",Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  196181
"RED HOOK EAST - Building 02  93 CENTRE MALL  BROOKLYN, NY 11231",Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  196194
"RED HOOK EAST - Building 26  110 WEST 9TH STREET  BROOKLYN, NY 11231",Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  100
"RED HOOK EAST - Building 27  120 WEST 9TH STREET  BROOKLYN, NY 11231",Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  100
"RED HOOK EAST - Building 01  604 CLINTON STREET  BROOKLYN, NY 11231",Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  1114253
"RIIS II - Building 15  749 FDR DRIVE  NEW YORK, NY 10009",Heat,03/02/2020 10:00 AM,BuildingsUnitsResidents  1124238
"SAINT NICHOLAS - Building 13  200 WEST 131ST STREET  NEW YORK, NY 10027",Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  1108255
"SAINT NICHOLAS - Building 08  2410 F DOUGLASS BOULEVARD  NEW YORK, NY 10027",Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  1108240
"WALD - Building 01  10 AVENUE D  NEW YORK, NY 10009",Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  190189
"WALD - Building 02  20 AVENUE D  NEW YORK, NY 10009",Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  1117265
"WALD - Building 03  30 AVENUE D  NEW YORK, NY 10009",Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  1130246
"WALD - Building 04  50 AVENUE D  NEW YORK, NY 10009",Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  1130273
"WALD - Building 05  60 AVENUE D  NEW YORK, NY 10009",Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  190185
"WSUR (SITE B) 74 WEST 92ND STREET - Entire Development  74 WEST 92ND STREET  NEW YORK, NY 10025",Heat  Hot Water,03/02/2020 11:00 PM,BuildingsUnitsResidents  1168331
"WSUR (SITE C) 589 AMSTERDAM AVENUE - Entire Development  589 AMSTERDAM AVENUE  NEW YORK, NY 10024",Heat  Hot Water,03/02/2020 11:00 PM,BuildingsUnitsResidents  1158335
