Address,Interruption,Planned,Reported On,Restoration Time,Impact
"GOWANUS - Building 01  175 HOYT STREET  BROOKLYN, NY 11217",Electric NO SERVICE,Planned,02/27/2020 9:00 AM,23 Hours,BuildingsUnitsPopulation  12965
"JACKSON - Building 06  285 EAST 156TH STREET  BRONX, NY 10451",Electric NO SERVICE,Planned,02/28/2020 8:00 AM,4 Hours,BuildingsUnitsPopulation  1124284
"LA GUARDIA - Building 04  300 CHERRY STREET  NEW YORK, NY 10002",Electric NO SERVICE,Unplanned,02/24/2020 7:29 PM,87 Hours,BuildingsUnitsPopulation  1123256
"LA GUARDIA 300 CHERRY STREET  NEW YORK, NY 10002",Electric NO SERVICE,Unplanned,02/24/2020 7:48 PM,84 Hours,BuildingsUnitsPopulation  1123256
"LA GUARDIA - Building 02  55 RUTGERS STREET  NEW YORK, NY 10002",Electric NO SERVICE,Unplanned,02/24/2020 7:19 PM,87 Hours,BuildingsUnitsPopulation  1124259
"LA GUARDIA 55 RUTGERS STREET  NEW YORK, NY 10002",Electric NO SERVICE,Unplanned,02/24/2020 7:33 PM,84 Hours,BuildingsUnitsPopulation  1124259
"LA GUARDIA - Building 03  65 JEFFERSON STREET  NEW YORK, NY 10002",Electric NO SERVICE,Unplanned,02/24/2020 7:26 PM,87 Hours,BuildingsUnitsPopulation  1108261
"LA GUARDIA 65 JEFFERSON STREET  NEW YORK, NY 10002",Electric NO SERVICE,Unplanned,02/24/2020 7:44 PM,84 Hours,BuildingsUnitsPopulation  1108261
