Address,Interruption,Scheduled Date,Impact
"DOUGLASS I - Building 12  860 COLUMBUS AVENUE  NEW YORK, NY 10025",Heat  Hot Water,05/12/2020 9:00 AM,BuildingsUnitsResidents  1160318
"DOUGLASS II - Building 01  840 COLUMBUS AVENUE  NEW YORK, NY 10025",Heat  Hot Water,05/12/2020 9:00 AM,BuildingsUnitsResidents  1160322
"PELHAM PARKWAY - Building 06  935 WARING AVENUE  BRONX, NY 10469",Water,05/14/2020 8:00 AM,BuildingsUnitsResidents  160132
"QUEENSBRIDGE NORTH - Building 09  40-01 10TH STREET  LONG ISLAND CITY, NY 11101",Hot Water,05/12/2020 9:00 AM,BuildingsUnitsResidents  1180321
"ROOSEVELT I - Entire Development  153 MARCUS GARVEY BOULEVARD  BROOKLYN, NY 11206",Hot Water,05/14/2020 9:00 AM,"BuildingsUnitsResidents  67631,757"
"ROOSEVELT II - Entire Development  93 LEWIS AVENUE  BROOKLYN, NY 11206",Hot Water,05/14/2020 9:00 AM,BuildingsUnitsResidents  3342693
