,Address,Interruption,Planned,Reported On,Restoration Time,Impact
33,"QUEENSBRIDGE SOUTH - Building 23  41-01 VERNON BOULEVARD  LONG ISLAND CITY, NY 11101",Hot Water,Planned,02/25/2020 9:00 AM,9 Hours,BuildingsUnitsPopulation  1180344
34,"RAVENSWOOD - Building 19  14-01 36TH AVENUE  ASTORIA, NY 11106",Heat,Unplanned,02/25/2020 8:00 AM,4 Hours,BuildingsUnitsPopulation  14895
35,"RED HOOK EAST 16 MILL STREET  BROOKLYN, NY 11231  Line A",Water,Unplanned,02/25/2020 11:28 AM,1 Hours,BuildingsUnitsPopulation  166
36,"RED HOOK EAST 16 MILL STREET  BROOKLYN, NY 11231  Line C",Water,Unplanned,02/25/2020 12:34 PM,3 Hours,BuildingsUnitsPopulation  1614
37,"SAINT NICHOLAS - Building 12  230 WEST 131ST STREET  NEW YORK, NY 10027",Hot Water,Planned,02/24/2020 9:00 AM,4 Hours,BuildingsUnitsPopulation  1105219
38,"SAINT NICHOLAS - Building 08  2410 F DOUGLASS BOULEVARD  NEW YORK, NY 10027",Hot Water,Planned,02/24/2020 9:00 AM,8 Hours,BuildingsUnitsPopulation  1108240
39,"SAINT NICHOLAS 255 WEST 127TH STREET  NEW YORK, NY 10027  Line G",Water,Unplanned,02/24/2020 9:30 AM,6 Hours,BuildingsUnitsPopulation  11434
40,"SAINT NICHOLAS 255 WEST 127TH STREET  NEW YORK, NY 10027  Line H",Water,Unplanned,02/24/2020 9:48 AM,6 Hours,BuildingsUnitsPopulation  11447
41,"SAMUEL (CITY) 159 WEST 143RD STREET  NEW YORK, NY 10030  Line B",Water,Unplanned,02/24/2020 9:03 AM,0 Hours,BuildingsUnitsPopulation  1514
42,"SMITH 182 SOUTH STREET  NEW YORK, NY 10038  Line F",Water,Unplanned,02/25/2020 4:36 PM,2 Hours,BuildingsUnitsPopulation  11620
43,"SUMNER - Building 12  44 MARCUS GARVEY BOULEVARD  BROOKLYN, NY 11206",Heat,Planned,02/24/2020 9:00 AM,6 Hours,BuildingsUnitsPopulation  178165
44,"TAFT - Building 02  1345 5TH AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/23/2020 9:30 AM,48 Hours,BuildingsUnitsPopulation  1150373
45,"TAFT - Building 03  1365 5TH AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/23/2020 9:30 AM,48 Hours,BuildingsUnitsPopulation  1201294
46,"TAFT - Building 01  1694 MADISON AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/23/2020 9:30 AM,48 Hours,BuildingsUnitsPopulation  1150282
47,"TAFT - Entire Development  1694 MADISON AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/23/2020 9:30 AM,19 Hours,"BuildingsUnitsPopulation  101,4702,997"
48,"TOMPKINS - Building 04  200 THROOP AVENUE  BROOKLYN, NY 11206",Heat,Planned,02/24/2020 9:00 AM,10 Hours,BuildingsUnitsPopulation  1202538
49,"WAGNER - Building 21  350 EAST 124TH STREET  NEW YORK, NY 10035",Hot Water,Unplanned,02/24/2020 6:14 PM,12 Hours,BuildingsUnitsPopulation  1125267
50,"WASHINGTON - Building 03  1895 2ND AVENUE  NEW YORK, NY 10029",Hot Water,Unplanned,02/23/2020 7:00 AM,56 Hours,BuildingsUnitsPopulation  1109226
51,"WILLIAMSBURG - Building 19  195 SCHOLES STREET  BROOKLYN, NY 11206",Heat  Hot Water,Planned  Planned,02/25/2020 9:00 AM,10 Hours,BuildingsUnitsPopulation  187144
52,"WILLIAMSBURG - Building 15  197 TEN EYCK WALK  BROOKLYN, NY 11206",Heat  Hot Water,Planned  Planned,02/25/2020 9:00 AM,8 Hours,BuildingsUnitsPopulation  195165
53,"WILLIAMSBURG - Building 17  200 TEN EYCK WALK  BROOKLYN, NY 11206",Heat  Hot Water,Planned  Planned,02/25/2020 9:00 AM,8 Hours,BuildingsUnitsPopulation  168118
54,"WILLIAMSBURG - Building 20  215 SCHOLES STREET  BROOKLYN, NY 11206",Heat  Hot Water,Planned  Planned,02/25/2020 9:00 AM,9 Hours,BuildingsUnitsPopulation  192153
55,"WILLIAMSBURG - Building 16  219 TEN EYCK WALK  BROOKLYN, NY 11206",Heat  Hot Water,Planned  Planned,02/25/2020 9:00 AM,8 Hours,BuildingsUnitsPopulation  180146
56,"WILLIAMSBURG - Building 18  222 TEN EYCK WALK  BROOKLYN, NY 11206",Heat  Hot Water,Planned  Planned,02/25/2020 9:00 AM,9 Hours,BuildingsUnitsPopulation  168138
