,Address,Interruption,Scheduled Date,Impact
0,"GOWANUS - Building 01  175 HOYT STREET  BROOKLYN, NY 11217",Electric NO SERVICE,02/27/2020 9:00 AM,BuildingsUnitsResidents  12965
1,"ISAACS - Building 02  1830 1ST AVENUE  NEW YORK, NY 10128",Electric PARTIAL SERVICE,02/26/2020 8:00 AM,BuildingsUnitsResidents  1215397
2,"ISAACS - Building 02  1830 1ST AVENUE  NEW YORK, NY 10128",Electric PARTIAL SERVICE,02/28/2020 8:00 AM,BuildingsUnitsResidents  1215397
3,"JACKSON - Building 06  285 EAST 156TH STREET  BRONX, NY 10451",Electric NO SERVICE,02/28/2020 8:00 AM,BuildingsUnitsResidents  1124285
4,"JACKSON - Building 04  765 COURTLANDT AVENUE  BRONX, NY 10451",Electric NO SERVICE,02/27/2020 8:00 AM,BuildingsUnitsResidents  1124298
5,"JACKSON - Building 03  785 COURTLANDT AVENUE  BRONX, NY 10451",Electric NO SERVICE,02/26/2020 8:00 AM,BuildingsUnitsResidents  1122329
