,Address,Interruption,Planned,Reported On,Restoration Time,Impact
0,"335 EAST 111TH STREET - Building 01  335 EAST 111TH STREET  NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,02/24/2020 10:07 PM,5 Hours,BuildingsUnitsPopulation  166104
1,"ADAMS - Building 06  680 TINTON AVENUE  BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 5:18 PM,17 Hours,BuildingsUnitsPopulation  1143385
2,"ADAMS - Building 05  710 TINTON AVENUE  BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 7:33 AM,5 Hours,BuildingsUnitsPopulation  1142359
3,"AMSTERDAM - Building 05  216 WEST 63RD STREET  NEW YORK, NY 10023",Elevator NO SERVICE,Unplanned,02/24/2020 11:19 PM,5 Hours,BuildingsUnitsPopulation  13060
4,"ASTORIA - Building 23  1-04 ASTORIA BLVD.  QUEENS, NY 11102",Elevator NO SERVICE,Unplanned,02/25/2020 3:45 PM,1 Hours,BuildingsUnitsPopulation  148114
5,"BOSTON SECOR - Building 01  3475 BIVONA STREET  BRONX, NY 10475",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 6:12 PM,5 Hours,BuildingsUnitsPopulation  1148376
6,"BOSTON SECOR - Building 03  3550 BIVONA STREET  BRONX, NY 10475",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 7:59 PM,16 Hours,BuildingsUnitsPopulation  1108254
7,"BOULEVARD - Building 12  881 SCHENCK AVENUE  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,02/24/2020 8:51 PM,10 Hours,BuildingsUnitsPopulation  13679
8,"BOYNTON AVENUE REHAB - Building 03  1057 BOYNTON AVENUE  BRONX, NY 10472",Elevator NO SERVICE,Unplanned,02/25/2020 9:24 AM,3 Hours,BuildingsUnitsPopulation  160121
9,"BRACETTI PLAZA - Building 01  290 EAST 4TH STREET  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 9:44 PM,9 Hours,BuildingsUnitsPopulation  13087
10,"BREUKELEN - Building 27  553 EAST 108TH STREET  BROOKLYN, NY 11236",Elevator NO SERVICE,Unplanned,02/24/2020 11:44 PM,5 Hours,BuildingsUnitsPopulation  13575
11,"BRONX RIVER - Building 07  1575 EAST 174TH STREET  BRONX, NY 10472",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 3:31 PM,19 Hours,BuildingsUnitsPopulation  1140334
12,"BROWN - Building 01  1634 SAINT MARKS AVENUE  BROOKLYN, NY 11233",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 9:49 AM,6 Hours,BuildingsUnitsPopulation  198101
13,"BUSHWICK - Building 08  130 MOORE STREET  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/22/2020 10:37 PM,72 Hours,BuildingsUnitsPopulation  1110274
14,"BUSHWICK - Building 02  24 HUMBOLDT STREET  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 4:27 PM,28 Hours,BuildingsUnitsPopulation  1191403
15,"BUTLER - Building 03  1368 WEBSTER AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 10:19 AM,5 Hours,BuildingsUnitsPopulation  1247694
16,"BUTLER - Building 06  1458 WEBSTER AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 8:53 PM,10 Hours,BuildingsUnitsPopulation  1249671
17,"CAMPOS PLAZA II - Building 04  612 EAST 14TH STREET  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 10:49 PM,7 Hours,BuildingsUnitsPopulation  1128258
18,"CAMPOS PLAZA II - Building 03  643 EAST 13TH STREET  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 1:27 PM,26 Hours,BuildingsUnitsPopulation  148119
19,"CASSIDY-LAFAYETTE - Building 02  135 CASSIDY PLACE  STATEN ISLAND, NY 103011159",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 10:30 AM,3 Hours,BuildingsUnitsPopulation  17889
20,"CASTLE HILL - Building 09  2245 RANDALL AVENUE  BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 6:37 PM,12 Hours,BuildingsUnitsPopulation  1142314
21,"CASTLE HILL - Building 07  530 OLMSTEAD AVENUE  BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 8:32 PM,14 Hours,BuildingsUnitsPopulation  1157415
22,"CHELSEA - Building 01  425 WEST 25TH STREET  NEW YORK, NY 10001",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 3:26 PM,4 Hours,BuildingsUnitsPopulation  1102212
23,"CONEY ISLAND - Building 03  3020 SURF AVENUE  BROOKLYN, NY 11224",Elevator NO SERVICE,Unplanned,02/24/2020 9:52 PM,4 Hours,BuildingsUnitsPopulation  1106233
24,"COOPER PARK - Building 02  60 KINGSLAND AVENUE  BROOKLYN, NY 11211",Elevator NO SERVICE,Unplanned,02/25/2020 6:00 PM,2 Hours,BuildingsUnitsPopulation  149135
25,"CYPRESS HILLS - Building 12  740 EUCLID AVENUE  BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,02/25/2020 7:26 PM,9 Hours,BuildingsUnitsPopulation  149124
