,Address,Interruption,Planned,Reported On,Status,Impact
0,"CONEY ISLAND I (SITES 4 & 5) - Building 01  2925 WEST 27TH STREET  BROOKLYN, NY 11224",Water,Planned,02/26/2020 8:30 AM,Outage Reported Outage has been reported,"BuildingsUnitsResidents  13761,005"
1,"CONEY ISLAND I (SITES 4 & 5) - Entire Development  2925 WEST 27TH STREET  BROOKLYN, NY 11224",Heat,Planned,02/26/2020 8:30 AM,Outage Reported Outage has been reported,"BuildingsUnitsResidents  23761,005"
2,"TAFT - Building 02  1345 5TH AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/25/2020 11:42 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1150373
3,"TAFT - Building 03  1365 5TH AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/25/2020 11:51 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1201294
4,"TAFT - Building 04  1385 5TH AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/25/2020 11:16 AM,Service Restored Outage has been fixed,BuildingsUnitsResidents  1150290
5,"TAFT - Building 01  1694 MADISON AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/25/2020 11:39 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1150282
6,"TAFT 1734 MADISON AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/25/2020 11:19 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1147377
7,"TAFT 1735 MADISON AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/25/2020 11:00 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1150369
8,"TAFT 70 EAST 115TH STREET  NEW YORK, NY 10029",Water,Unplanned,02/25/2020 11:00 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1186333
