,Address,Interruption,Planned,Reported On,Status,Impact
0,"GOWANUS - Building 01  175 HOYT STREET  BROOKLYN, NY 11217",Electric NO SERVICE,Planned,02/27/2020 9:00 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  12965
1,"LA GUARDIA - Building 04  300 CHERRY STREET  NEW YORK, NY 10002",Electric PARTIAL SERVICE,Planned,02/18/2020 8:00 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1123256
2,"LA GUARDIA - Building 04  300 CHERRY STREET  NEW YORK, NY 10002",Electric NO SERVICE,Unplanned,02/24/2020 7:29 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1123256
3,"LA GUARDIA 300 CHERRY STREET  NEW YORK, NY 10002",Electric NO SERVICE,Unplanned,02/24/2020 7:48 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1123256
4,"LA GUARDIA - Building 02  55 RUTGERS STREET  NEW YORK, NY 10002",Electric NO SERVICE,Unplanned,02/24/2020 7:19 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1124259
5,"LA GUARDIA 55 RUTGERS STREET  NEW YORK, NY 10002",Electric NO SERVICE,Unplanned,02/24/2020 7:33 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1124259
6,"LA GUARDIA - Building 03  65 JEFFERSON STREET  NEW YORK, NY 10002",Electric NO SERVICE,Unplanned,02/24/2020 7:26 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1108261
7,"LA GUARDIA 65 JEFFERSON STREET  NEW YORK, NY 10002",Electric NO SERVICE,Unplanned,02/24/2020 7:44 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1108261
