,Address,Interruption,Planned,Reported On,Status,Impact
0,"BUSHWICK - Building 07  140 MOORE STREET  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/27/2020 10:15 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1113297
1,"DREW-HAMILTON - Building 01  2660 F DOUGLASS BOULEVARD  NEW YORK, NY 10030",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 8:54 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1249576
2,"JACKSON - Building 04  765 COURTLANDT AVENUE  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 7:00 PM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  1124298
3,"MARBLE HILL - Building 11  210 WEST 230TH STREET  BRONX, NY 10463",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 7:51 AM,NYCHA Staff Assigned NYCHA Staff has been assigned to work on the issue,BuildingsUnitsResidents  1154268
4,"MOTT HAVEN - Building 04  340 ALEXANDER AVENUE  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 4:27 PM,NYCHA Staff Assigned NYCHA Staff has been assigned to work on the issue,BuildingsUnitsResidents  1122403
5,"TOMPKINS - Building 04  212 THROOP AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 3:24 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1123341
