,Address,Interruption,Planned,Reported On,Status,Impact
0,"DREW-HAMILTON - Building 01  2660 F DOUGLASS BOULEVARD  NEW YORK, NY 10030",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 8:54 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1249576
1,"JACKSON - Building 04  765 COURTLANDT AVENUE  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 7:00 PM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  1124298
2,"MARBLE HILL - Building 11  210 WEST 230TH STREET  BRONX, NY 10463",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 7:51 AM,NYCHA Staff Assigned NYCHA Staff has been assigned to work on the issue,BuildingsUnitsResidents  1154268
3,"MORRIS - Building 05  1309 WASHINGTON AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 5:33 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1126399
4,"MOTT HAVEN - Building 04  340 ALEXANDER AVENUE  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 4:27 PM,NYCHA Staff Assigned NYCHA Staff has been assigned to work on the issue,BuildingsUnitsResidents  1122403
5,"TOMPKINS - Building 04  212 THROOP AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 3:24 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1123341
6,"TOMPKINS - Building 07  99 TOMPKINS AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 6:47 PM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  159151
