,Address,Interruption,Scheduled Date,Impact
0,"ISAACS - Building 02  1830 1ST AVENUE  NEW YORK, NY 10128",Electric PARTIAL SERVICE,02/28/2020 8:00 AM,BuildingsUnitsResidents  1215397
1,"ISAACS - Building 02  1830 1ST AVENUE  NEW YORK, NY 10128",Electric PARTIAL SERVICE,02/28/2020 8:00 AM,BuildingsUnitsResidents  1215397
2,"ISAACS - Building 02  1830 1ST AVENUE  NEW YORK, NY 10128",Electric PARTIAL SERVICE,03/02/2020 8:00 AM,BuildingsUnitsResidents  1215397
3,"JACKSON - Building 06  285 EAST 156TH STREET  BRONX, NY 10451",Electric NO SERVICE,02/28/2020 8:00 AM,BuildingsUnitsResidents  1124285
4,"RIIS II - Building 15  749 FDR DRIVE  NEW YORK, NY 10009",Electric NO SERVICE,03/02/2020 8:00 AM,BuildingsUnitsResidents  1124238
