Address,Interruption,Planned,Reported On,Status,Impact
"FOREST 965 TINTON AVENUE  BRONX, NY 10456  Line A",Water,Unplanned,05/10/2020 2:00 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  11433
"RAVENSWOOD - Building 20  12-15 36TH AVENUE  ASTORIA, NY 11106",Hot Water,Unplanned,05/10/2020 4:58 PM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  196201
"SACKWERN - Building 03  710 CROES AVENUE  BRONX, NY 10473",Hot Water,Unplanned,05/10/2020 3:14 PM,Service Restored Outage has been fixed,BuildingsUnitsResidents  159144
"WAGNER - Building 13  10 PALADINO AVENUE  NEW YORK, NY 10035",Hot Water,Unplanned,05/11/2020 8:57 AM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  1121282
