Address,Interruption,Planned,Reported On,Restoration Time,Impact
"FOREST - Building 04  730 EAST 166TH STREET  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 9:25 AM,2 Hours,BuildingsUnitsPopulation  172171
"FOREST - Building 11  965 TINTON AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 5:23 PM,19 Hours,BuildingsUnitsPopulation  1108220
"GLENWOOD - Building 16  5909 GLENWOOD ROAD  BROOKLYN, NY 11234",Elevator NO SERVICE,Unplanned,05/11/2020 8:31 AM,2 Hours,BuildingsUnitsPopulation  12759
"GOMPERS - Building 02  60 PITT STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 12:24 AM,36 Hours,BuildingsUnitsPopulation  1117283
"GRANT - Building 02  3150 BROADWAY  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 9:42 AM,21 Hours,BuildingsUnitsPopulation  1226475
"HYLAN - Building 01  131 MOORE STREET  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 7:47 PM,19 Hours,BuildingsUnitsPopulation  1209425
"INGERSOLL - Building 23  24 MONUMENT WALK  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,05/10/2020 3:31 PM,5 Hours,BuildingsUnitsPopulation  188181
"INGERSOLL - Building 19  64 SAINT EDWARDS STREET  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,05/10/2020 2:52 PM,5 Hours,BuildingsUnitsPopulation  13066
"ISAACS - Building 02  1830 1ST AVENUE  NEW YORK, NY 10128",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 9:12 AM,17 Hours,BuildingsUnitsPopulation  1215389
"JEFFERSON - Building 16  230 EAST 115TH STREET  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 6:50 PM,19 Hours,BuildingsUnitsPopulation  154105
"JOHNSON - Building 10  1829 LEXINGTON AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 11:04 AM,20 Hours,BuildingsUnitsPopulation  1104238
"JOHNSON - Building 05  1830 LEXINGTON AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 9:36 AM,20 Hours,BuildingsUnitsPopulation  194240
"JOHNSON - Building 06  1840 LEXINGTON AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 9:14 AM,18 Hours,BuildingsUnitsPopulation  191226
"JUSTICE SONIA SOTOMAYOR HOUSES - Building 24  1810 WATSON AVENUE  BRONX, NY 10472",Elevator NO SERVICE,Unplanned,05/11/2020 7:16 AM,3 Hours,BuildingsUnitsPopulation  14899
"LA GUARDIA - Building 05  240 MADISON STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 2:00 PM,15 Hours,BuildingsUnitsPopulation  1123277
"LA GUARDIA - Building 04  300 CHERRY STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 10:52 AM,16 Hours,BuildingsUnitsPopulation  1123249
"LAFAYETTE - Building 05  411 LAFAYETTE AVENUE  BROOKLYN, NY 11238",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 5:14 PM,36 Hours,BuildingsUnitsPopulation  1102282
"LAFAYETTE - Building 06  415 LAFAYETTE AVENUE  BROOKLYN, NY 11238",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 7:15 PM,35 Hours,BuildingsUnitsPopulation  1102254
"LAFAYETTE - Building 07  433 LAFAYETTE AVENUE  BROOKLYN, NY 11238",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 2:06 PM,13 Hours,BuildingsUnitsPopulation  1156445
"LEAVITT STREET-34TH AVENUE - Building 01  139-10 34TH AVENUE  FLUSHING, NY 11354",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 1:13 PM,6 Hours,BuildingsUnitsPopulation  183104
"LINDEN - Building 01  570 STANLEY AVENUE  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,05/11/2020 9:13 AM,2 Hours,BuildingsUnitsPopulation  163161
"LOW HOUSES - Building 03  157 BELMONT AVENUE  BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 11:09 PM,3 Hours,BuildingsUnitsPopulation  1142345
"MARLBORO - Building 13  2257 WEST 11TH STREET  BROOKLYN, NY 11223",Elevator NO SERVICE,Unplanned,05/10/2020 5:56 PM,3 Hours,BuildingsUnitsPopulation  156134
"MARLBORO - Building 02  30 AVENUE V  BROOKLYN, NY 11223",Elevator PARTIAL SERVICE,Unplanned,05/11/2020 9:18 AM,3 Hours,BuildingsUnitsPopulation  1127331
"MELROSE - Building 07  281 EAST 153RD STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 5:51 PM,26 Hours,BuildingsUnitsPopulation  1140294
"MELROSE - Building 05  305 EAST 153RD STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 9:57 AM,50 Hours,BuildingsUnitsPopulation  1140266
"MILL BROOK - Building 01  180 BROOK AVENUE  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 2:59 PM,12 Hours,BuildingsUnitsPopulation  1145303
"MILL BROOK EXTENSION - Building 10  169 CYPRESS AVENUE  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 9:18 PM,38 Hours,BuildingsUnitsPopulation  1125286
"MITCHEL - Building 01  303 EAST 135TH STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 5:24 AM,14 Hours,BuildingsUnitsPopulation  1173458
"MONROE - Building 01  1785 STORY AVENUE  BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 6:46 PM,23 Hours,BuildingsUnitsPopulation  1112223
"MOTT HAVEN - Building 07  355 EAST 143RD STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 8:43 PM,15 Hours,BuildingsUnitsPopulation  1117276
"MOTT HAVEN - Building 08  383 EAST 143RD STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,05/11/2020 8:43 AM,5 Hours,BuildingsUnitsPopulation  1117279
"O'DWYER GARDENS - Building 01  2975 WEST 33RD STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 11:58 PM,11 Hours,BuildingsUnitsPopulation  187152
"PATTERSON - Building 11  2715 3RD AVENUE  BRONX, NY 10451",Elevator NO SERVICE,Unplanned,05/10/2020 3:17 PM,2 Hours,BuildingsUnitsPopulation  142106
"POLO GROUNDS TOWERS - Building 02  2971 F DOUGLASS BOULEVARD  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,05/11/2020 9:48 AM,3 Hours,BuildingsUnitsPopulation  1210483
"POLO GROUNDS TOWERS - Building 01  2937 F DOUGLASS BOULEVARD  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 2:31 AM,2 Hours,BuildingsUnitsPopulation  1208428
"POLO GROUNDS TOWERS - Building 02  2979 F DOUGLASS BOULEVARD  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,05/11/2020 9:25 AM,1 Hours,BuildingsUnitsPopulation  1208467
"QUEENSBRIDGE NORTH - Building 03  40-09 12TH STREET  QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,05/10/2020 11:45 AM,25 Hours,BuildingsUnitsPopulation  13658
"RAVENSWOOD - Building 03  23-02 34TH AVENUE  QUEENS, NY 11106",Elevator NO SERVICE,Unplanned,05/10/2020 7:07 PM,2 Hours,BuildingsUnitsPopulation  14886
"RED HOOK EAST - Building 14  465 COLUMBIA STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,05/11/2020 10:32 AM,2 Hours,BuildingsUnitsPopulation  13056
"RED HOOK WEST - Building 22  470 COLUMBIA STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,05/11/2020 10:14 AM,1 Hours,BuildingsUnitsPopulation  13644
"RED HOOK WEST - Building 22  472 COLUMBIA STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,05/10/2020 7:45 PM,3 Hours,BuildingsUnitsPopulation  13656
"RED HOOK WEST - Building 17  85 LORRAINE STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,05/11/2020 10:45 AM,3 Hours,BuildingsUnitsPopulation  13066
"RIIS - Building 03  178 AVENUE D  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 6:50 PM,12 Hours,BuildingsUnitsPopulation  1125251
"SACKWERN - Building 03  710 CROES AVENUE  BRONX, NY 10473",Elevator NO SERVICE,Unplanned,05/10/2020 8:18 AM,12 Hours,BuildingsUnitsPopulation  159144
"SAINT NICHOLAS - Building 09  225 WEST 129TH STREET  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 2:02 PM,1 Hours,BuildingsUnitsPopulation  1110323
"SAINT NICHOLAS - Building 02  230 WEST 129TH STREET  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 9:25 AM,4 Hours,BuildingsUnitsPopulation  1109218
"SOUNDVIEW - Building 12  1715 LACOMBE AVENUE  BRONX, NY 10473",Elevator NO SERVICE,Unplanned,05/10/2020 6:50 AM,5 Hours,BuildingsUnitsPopulation  14991
"ST. MARY'S PARK - Building 04  665 WESTCHESTER AVENUE  BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 9:17 AM,6 Hours,BuildingsUnitsPopulation  1168347
"TAFT - Building 05  1734 MADISON AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 8:41 PM,15 Hours,BuildingsUnitsPopulation  1147372
"TOMPKINS - Building 04  212 THROOP AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 4:47 PM,6 Hours,BuildingsUnitsPopulation  1123330
"UNITY PLAZA (SITES 17-24-25A)2 - Building 03  611 BLAKE AVENUE  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,05/10/2020 11:18 AM,4 Hours,BuildingsUnitsPopulation  155175
"VAN DYKE I - Building 11  372 BLAKE AVENUE  BROOKLYN, NY 11212",Elevator NO SERVICE,Unplanned,05/09/2020 10:09 PM,14 Hours,BuildingsUnitsPopulation  1108241
"VAN DYKE I - Building 12  393 DUMONT AVENUE  BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 10:23 AM,26 Hours,BuildingsUnitsPopulation  1112271
"VLADECK - Building 20  359 MADISON STREET  NEW YORK, NY 10002",Elevator NO SERVICE,Unplanned,05/11/2020 9:44 AM,3 Hours,BuildingsUnitsPopulation  13054
"WAGNER - Building 12  20 PALADINO AVENUE  NEW YORK, NY 10035",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 8:54 AM,13 Hours,BuildingsUnitsPopulation  1125290
"WAGNER - Building 08  2370 1ST AVENUE  NEW YORK, NY 10035",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 9:39 PM,2 Hours,BuildingsUnitsPopulation  1124245
"WAGNER - Building 22  2400 2ND AVENUE  NEW YORK, NY 10035",Elevator PARTIAL SERVICE,Unplanned,05/11/2020 9:54 AM,3 Hours,BuildingsUnitsPopulation  1125265
"WALD - Building 09  711 FDR DRIVE  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 9:09 AM,27 Hours,BuildingsUnitsPopulation  1126279
"WASHINGTON - Building 14  218 EAST 104TH STREET  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 1:16 PM,25 Hours,BuildingsUnitsPopulation  1110218
"WEBSTER - Building 01  1270 WEBSTER AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 2:06 PM,44 Hours,BuildingsUnitsPopulation  1120241
"WEBSTER - Building 04  421 EAST 168TH STREET  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 12:01 PM,9 Hours,BuildingsUnitsPopulation  1121348
"WEST BRIGHTON I - Building 02  806 HENDERSON AVE.  STATEN ISLAND, NY 10310",Elevator NO SERVICE,Unplanned,05/11/2020 10:18 AM,3 Hours,BuildingsUnitsPopulation  162176
"WEST TREMONT AVENUE-SEDGWICK AVENUE AREA - Building 01  228 WEST TREMONT AVENUE  BRONX, NY 10453",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 11:30 AM,18 Hours,BuildingsUnitsPopulation  1148166
"WHITMAN - Building 14  32 AUBURN PLACE  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,05/11/2020 8:07 AM,3 Hours,BuildingsUnitsPopulation  13075
"WISE TOWERS - Building 02  133 WEST 90TH STREET  NEW YORK, NY 10024",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 6:14 AM,8 Hours,BuildingsUnitsPopulation  192181
"WYCKOFF GARDENS - Building 03  272 WYCKOFF STREET  BROOKLYN, NY 11217",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 9:07 AM,3 Hours,BuildingsUnitsPopulation  1180384
