Address,Interruption,Planned,Reported On,Restoration Time,Impact
"45 ALLEN STREET - Building 01  45 ALLEN STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 9:07 AM,5 Hours,BuildingsUnitsPopulation  1107230
"ADAMS - Building 05  710 TINTON AVENUE  BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 2:34 PM,8 Hours,BuildingsUnitsPopulation  1142362
"ADAMS - Building 03  720 WESTCHESTER AVENUE  BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 2:42 PM,9 Hours,BuildingsUnitsPopulation  1126270
"ALBANY - Building 02  1191 PARK PLACE  BROOKLYN, NY 11213",Elevator PARTIAL SERVICE,Unplanned,05/11/2020 11:07 AM,2 Hours,BuildingsUnitsPopulation  1140283
"ASTORIA - Building 22  1-10 ASTORIA BLVD.  QUEENS, NY 11102",Elevator NO SERVICE,Unplanned,05/10/2020 12:40 PM,7 Hours,BuildingsUnitsPopulation  14895
"BAILEY AVENUE-WEST 193RD STREET - Building 01  2663 HEATH AVENUE  BRONX, NY 10463",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 11:44 AM,20 Hours,BuildingsUnitsPopulation  1233446
"BARUCH - Building 08  80 BARUCH DRIVE  NEW YORK, NY 10002",Elevator NO SERVICE,Unplanned,05/10/2020 12:59 PM,8 Hours,BuildingsUnitsPopulation  167165
"BARUCH - Building 08  90 BARUCH DRIVE  NEW YORK, NY 10002",Elevator NO SERVICE,Unplanned,05/10/2020 1:44 PM,9 Hours,BuildingsUnitsPopulation  167144
"BARUCH - Building 14  50 COLUMBIA STREET  NEW YORK, NY 10002",Elevator NO SERVICE,Unplanned,05/11/2020 9:11 AM,2 Hours,BuildingsUnitsPopulation  165121
"BEACH 41ST STREET-BEACH CHANNEL DRIVE - Building 04  456 BEACH 40TH STREET  QUEENS, NY 11691",Elevator PARTIAL SERVICE,Unplanned,05/08/2020 2:39 PM,71 Hours,BuildingsUnitsPopulation  1119265
"BORINQUEN PLAZA I - Building 08  160 BOERUM STREET  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,05/10/2020 8:11 PM,3 Hours,BuildingsUnitsPopulation  165162
"BOSTON ROAD PLAZA - Building 01  2440 BOSTON ROAD  BRONX, NY 10467",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 9:39 AM,6 Hours,BuildingsUnitsPopulation  1235270
"BOULEVARD - Building 15  756 STANLEY AVENUE  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,05/10/2020 3:16 AM,3 Hours,BuildingsUnitsPopulation  13676
"BOULEVARD - Building 04  807 SCHENCK AVENUE  BROOKLYN, NY 11207",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 6:23 PM,18 Hours,BuildingsUnitsPopulation  197140
"BREVOORT - Building 01  292 RALPH AVENUE  BROOKLYN, NY 11233",Elevator NO SERVICE,Unplanned,05/10/2020 5:31 AM,5 Hours,BuildingsUnitsPopulation  13382
"BROWNSVILLE - Building 23  295 OSBORN STREET  BROOKLYN, NY 11212",Elevator NO SERVICE,Unplanned,05/10/2020 11:58 AM,3 Hours,BuildingsUnitsPopulation  13697
"BUSHWICK - Building 08  130 MOORE STREET  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 2:07 PM,22 Hours,BuildingsUnitsPopulation  1110274
"BUSHWICK - Building 01  811 FLUSHING AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 6:44 AM,8 Hours,BuildingsUnitsPopulation  1194408
"CAMPOS PLAZA II - Building 04  612 EAST 14TH STREET  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 5:49 PM,20 Hours,BuildingsUnitsPopulation  1128255
"CASTLE HILL - Building 13  2225 LACOMBE AVENUE  BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 8:45 PM,9 Hours,BuildingsUnitsPopulation  1142297
"CLINTON - Building 03  1738 LEXINGTON AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 10:14 PM,4 Hours,BuildingsUnitsPopulation  1139323
"DOUGLASS I - Building 10  850 COLUMBUS AVENUE  NEW YORK, NY 10025",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 9:12 AM,4 Hours,BuildingsUnitsPopulation  172131
"DOUGLASS I - Building 09  875 COLUMBUS AVENUE  NEW YORK, NY 10025",Elevator PARTIAL SERVICE,Unplanned,05/09/2020 2:07 PM,21 Hours,BuildingsUnitsPopulation  1173354
"DREW-HAMILTON - Building 04  2430 A C POWELL BOULEVARD  NEW YORK, NY 10030",Elevator PARTIAL SERVICE,Unplanned,05/10/2020 10:54 AM,8 Hours,BuildingsUnitsPopulation  1238542
